#x,y,z - 18.25% strain
-20.97,26.88,-32.84
-22.14,36.33,14.01
-22.08,37.5,6.68
-22.6,38.77,-1.08
-22.08,38.88,-8.92
-21.92,38.76,-16.72
-21.74,38.12,-25.01
-20.97,38.12,-32.84
-8.97,-31.39,14.26
-9.6,-30.63,6.52
-9.8,-30.62,-0.96
-9.84,-30.62,-8.91
-9.46,-30.62,-16.51
-9.48,-30.17,-24.27
-9.28,-28.75,-31.91
-9.32,-21.48,13.9
-10.02,-19.37,6.12
-9.83,-19.37,-1.3
-10.21,-19.37,-8.91
-9.82,-18.64,-16.35
-9.47,-18.64,-24.14
-9.24,-17.52,-31.88
-9.24,-9.38,13.59
-10.21,-8.13,6.12
-10.39,-7.5,-1.67
-10.4,-7.63,-9.1
-10.21,-6.88,-16.51
-10.02,-6.88,-24.31
-9.46,-6.88,-32.1
-11.1,1.88,13.5
-10.54,3.57,5.78
-11.66,4.88,-1.96
-10.55,4.38,-9.43
-9.86,4.38,-16.85
-10.02,4.38,-24.49
-9.44,4.83,-32.16
-10.64,13.47,13.41
-10.58,14.37,5.75
-10.39,15.62,-1.86
-10.95,15.62,-9.46
-10.95,16.88,-16.88
-10.21,15.62,-24.68
-9.31,15.62,-32.51
-11.25,24.37,13.54
-10.39,26.18,6.05
-10.58,26.88,-1.67
-10.76,27.5,-9.28
-10.6,28.12,-16.85
-10.04,27.51,-24.88
-9.84,26.88,-32.66
-11.77,36.57,13.72
-10.43,38.12,6.53
-10.58,39.38,-0.93
-11.09,38.85,-9.06
-10.55,39.38,-16.85
-9.65,38.68,-24.75
-10.21,38.12,-32.66
2.48,-31.18,14.28
0.93,-30.62,6.87
2.44,-30.62,-0.96
1.8,-31.34,-8.76
2.04,-30.62,-16.14
2,-30.18,-23.97
2.23,-28.12,-31.61
2.23,-21.63,13.91
1.27,-19.37,6.16
2.97,-19.37,-1.3
1.29,-18.88,-8.9
2.01,-18.12,-16.17
1.86,-18.68,-23.87
1.64,-16.88,-31.69
1.66,-10.02,13.67
1.29,-8.13,6.05
2.41,-8.13,-1.67
0.93,-8.13,-9.09
1.67,-6.88,-16.51
2.04,-6.88,-23.94
1.71,-6.3,-31.88
1.58,1.32,13.52
1.35,3.68,5.94
1.7,4.38,-2.01
0.74,4.38,-9.46
1.42,4.92,-16.61
1.67,4.38,-24.31
1.67,4.38,-32.1
1.32,12.59,13.57
0.95,14.37,5.79
1.67,15.62,-1.67
1.3,15.62,-9.46
1.29,16.12,-16.71
1.51,16.88,-24.52
1.67,16.25,-32.29
0.84,24.88,13.45
0.78,26.27,5.97
1.66,27.3,-1.67
0.92,27.37,-9.28
1.27,28.12,-16.85
1.3,28.12,-24.68
1.48,27.37,-32.48
-0.07,36.88,13.86
0.56,38.12,6.49
0.52,39.38,-0.96
1.11,38.75,-8.91
0.93,39.38,-16.51
1.26,38.56,-24.68
1.3,38.12,-32.47
13.17,-31.18,14.35
12.8,-30.62,6.87
13.15,-30.62,-0.89
13.21,-30.62,-8.57
13.55,-29.89,-15.98
13.54,-29.37,-23.94
13.54,-28.12,-31.36
13.73,-21.02,13.98
13.51,-19.37,6.46
14.25,-19.37,-1.15
13.94,-19.37,-8.69
13.55,-18.62,-15.97
13.73,-18.12,-23.75
13.17,-16.88,-31.36
13.66,-9.38,13.97
12.42,-7.35,6.13
13.54,-7.5,-1.48
13.18,-7.61,-8.88
13.17,-6.88,-16.14
12.83,-6.88,-23.9
13.17,-5.63,-31.73
12.87,2.43,13.55
12.43,3.62,5.95
13.54,3.88,-1.53
13.17,4.38,-9.09
13.33,4.89,-16.51
13.36,4.38,-24.31
12.8,5,-31.91
12.8,12.65,13.52
12.1,15.05,5.91
13.36,15.62,-1.68
13.17,16.88,-9.09
12.8,16.88,-16.51
12.43,16.88,-24.31
13.17,16.25,-32.29
12.24,24.81,13.41
12.4,26.88,5.98
12.78,26.88,-1.64
12.43,28.12,-9.09
12.8,28.12,-16.51
12,27.43,-24.5
12.34,27.34,-32.43
11.41,36.5,13.71
11.88,38.12,6.61
12.39,38.92,-0.96
12.06,39.38,-8.72
12.43,39.38,-16.51
12.27,38.74,-24.51
12.78,38.7,-32.39
24.68,-31.25,14.47
24.12,-30.07,7.16
25.45,-30.62,-0.52
25.05,-30.62,-8.35
25.42,-29.87,-15.95
25.01,-29.37,-23.72
24.31,-28.12,-31.36
25.03,-21.41,14.24
23.65,-19.37,6.78
25.76,-19.37,-0.89
25.05,-19.37,-8.35
25.23,-18.68,-15.84
25.05,-18.12,-23.56
24.31,-16.88,-31.36
24.9,-9.38,13.96
24.34,-7.33,6.53
25.3,-6.88,-1.12
24.7,-6.88,-8.69
25.16,-6.88,-15.96
24.86,-6.25,-23.75
23.98,-5.63,-31.51
24.27,2.39,13.87
23.96,3.92,6.18
25.36,3.92,-1.32
25.05,4.38,-8.72
25.21,5.01,-16.31
24.46,5.05,-23.98
23.94,5.63,-31.73
23.79,13.13,13.69
23.94,15.62,6.12
25.79,15.62,-1.3
24.33,15.62,-9.06
24.86,16.88,-16.4
24.69,16.36,-24.15
24.33,16.1,-32.13
23.93,25,13.73
23.56,26.88,6.49
24.89,27.49,-1.13
23.93,27.63,-8.9
24.49,28.12,-16.52
24.68,28.12,-24.31
23.99,27.43,-32.28
23.19,36.87,13.92
23.19,38.12,6.87
24.68,39.38,-0.56
23.56,39.38,-8.53
24.34,39.38,-16.17
23.94,39.38,-24.31
23.76,38.69,-32.24
35.01,-30.63,14.88
35.63,-29.37,7.78
36.92,-30.62,0.19
36.55,-30.62,-7.98
37.29,-29.37,-15.77
36.44,-29.37,-23.75
35.81,-28.12,-31.36
35.54,-20.33,14.5
35.47,-18.12,7.27
37.48,-18.62,-0.19
36.37,-18.82,-8.05
37.29,-18.12,-15.77
36.54,-17.69,-23.57
35.41,-16.88,-31.39
35.32,-8.13,14.47
36.18,-6.88,7.24
37.41,-6.88,-0.38
37.04,-6.88,-8.17
36.92,-6.25,-15.96
36.47,-6.37,-23.66
35.41,-5.63,-31.39
35.96,3.13,14.25
35.47,4.38,6.9
37.29,4.38,-0.56
36.52,4.38,-8.38
36.55,5.63,-16.14
36.5,5.09,-23.95
35.07,5.19,-31.76
35.25,13.66,14.28
35.28,14.89,6.87
37.11,16.88,-0.74
36.02,16.24,-8.55
36.74,16.88,-16.14
36.03,16.27,-24.09
35.12,16.42,-32.07
34.61,24.81,14.06
34.72,26.88,6.9
36.63,27.38,-0.59
36.18,28.12,-8.35
35.96,28.12,-16.18
35.77,27.68,-24.28
35.44,26.88,-32.1
34.6,37.29,14.44
34.33,37.63,7.43
36,39.38,0
34.88,39.38,-8.16
35.47,39.38,-16.11
35.41,38.83,-24.18
35.1,38.12,-32.13
